,성별(1),산업별(1),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
0,성별(1),산업별(1),임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금 근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자
11,전체,k. 정보통신업,1279,1024,254,206,44,12,1,13,7,2,1403,1135,268,204,47,18,3,14,6,2,1389,1132,257,203,38,27,4,11,0,0,718,590,129,95,29,10,1,7,0,1,784,666,118,92,32,4,3,3,5,1,777,648,129,105,25,6,0,3,1,1,771,649,121,99,29,5,2,3,2,0,859,676,183,151,37,8,3,9,4,2
12,전체,l. 금융 및 보험업,1651,958,694,168,43,1,0,538,1,1,1525,923,602,150,39,0,2,454,2,2,1531,910,621,146,52,0,2,473,1,2,758,457,301,83,23,0,1,220,0,0,804,499,306,93,39,0,0,216,0,0,761,480,281,79,40,1,1,210,0,4,749,493,256,55,29,1,0,203,1,2,773,470,303,84,35,0,0,232,2,0
13,전체,m. 부동산업,645,374,271,207,59,6,17,23,1,4,619,362,258,207,52,6,27,21,0,0,628,359,269,198,73,3,25,28,2,3,366,217,150,97,45,5,13,18,0,1,356,197,158,106,55,8,14,23,0,2,406,210,196,132,54,8,23,26,0,7,363,185,178,134,47,8,22,11,0,5,401,192,208,159,54,11,27,16,0,3
14,전체,"n. 전문, 과학 및 기술 서비스업",1761,1474,287,244,40,10,2,3,5,7,1778,1494,285,243,47,12,5,3,6,7,1887,1606,281,225,62,8,0,5,4,5,901,757,144,106,44,2,0,0,2,5,925,779,146,108,42,3,0,2,6,4,996,802,194,154,53,2,1,4,2,1,986,807,179,142,47,2,2,3,1,4,1059,853,206,164,65,1,0,8,3,2
15,전체,"o. 사업시설 관리, 사업 지원 및 임대 서비스업",2272,584,1689,1108,197,176,1145,32,3,107,2422,651,1771,1154,237,144,1196,39,3,152,2603,706,1897,1242,293,180,1268,52,8,154,1306,413,893,590,141,84,608,19,2,75,1193,347,846,539,144,88,537,19,2,62,1241,375,866,608,165,79,517,25,2,56,1274,450,824,574,160,88,493,23,2,67,1311,422,890,629,177,117,484,29,2,69
16,전체,"p. 공공행정, 국방 및 사회보장 행정",1988,1420,567,538,324,9,1,0,0,3,1906,1373,533,504,316,22,1,1,1,4,2020,1489,531,501,317,10,0,1,0,1,1103,784,318,302,185,6,0,0,1,2,1131,801,331,321,207,2,1,0,0,0,1079,706,373,361,249,0,0,0,0,1,1134,721,413,404,303,0,0,0,2,2,1181,789,392,378,260,0,0,0,1,1
17,전체,q. 교육 서비스업,2882,1807,1075,688,592,4,2,115,2,5,2940,1847,1092,723,598,7,7,134,2,5,2969,1880,1088,708,614,6,7,129,3,2,1538,958,580,365,329,8,1,55,0,1,1505,941,564,371,312,5,0,51,1,2,1548,919,630,430,379,2,2,61,2,3,1482,894,588,408,352,0,3,50,3,2,1553,880,673,486,410,3,1,56,6,3
18,전체,r. 보건업 및 사회복지 서비스업,3199,2041,1158,917,554,31,9,0,10,10,3329,2117,1212,955,617,48,6,0,7,11,3545,2180,1364,1076,734,49,19,1,6,15,1852,1134,719,555,447,14,11,1,3,5,1998,1161,837,667,518,19,4,5,1,6,2173,1195,978,805,621,19,11,3,4,3,2328,1200,1128,953,716,15,2,4,6,5,2572,1216,1356,1178,890,20,9,7,16,5
19,전체,"s. 예술, 스포츠 및 여가관련 서비스업",466,261,205,130,91,1,0,13,0,12,569,301,268,144,152,2,0,21,0,7,526,265,261,136,149,1,1,25,0,9,273,127,146,79,89,0,0,11,0,2,289,143,146,74,96,3,0,8,0,4,343,148,195,118,117,6,0,12,0,5,334,152,182,107,102,1,0,13,1,6,323,143,180,121,104,1,0,17,0,3
20,전체,"t. 협회 및 단체, 수리 및 기타 개인 서비스업",1516,1027,489,194,242,13,5,75,6,99,1479,975,505,235,238,8,7,45,2,85,1459,963,496,201,308,10,1,50,7,63,722,470,253,113,144,8,1,25,3,19,756,493,263,118,142,2,1,43,2,27,726,480,246,130,131,3,0,34,2,26,677,436,241,126,127,5,0,41,0,40,651,410,241,138,125,3,4,45,3,32
