"교육정도별",2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"교육정도별",여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%),여자 (%),남자 (%)
"중졸 이하",80,134,83,136,79,134,78,134,79,137,72,115,75,128,77,129,74,131,77,129,78,126,74,121
"고졸",100,154,100,154,100,155,100,155,100,155,100,146,100,153,100,151,100,153,100,149,100,147,100,148
"전문대졸",113,164,115,165,117,165,118,164,117,167,111,169,119,176,118,175,115,174,115,169,114,167,116,168
"대졸 이상",153,232,154,235,154,231,157,229,156,231,143,221,157,243,155,238,153,231,151,224,150,220,155,227
