"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(1)","특성별(1)",특성별(2),여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","연령",30∼39세,41.0,14.3,35.4,5.9,9.6,80.4,,46.6,0.1,2.8,36.9,13.9,33.5,5.2,7.7,79.2,,47.8,0.1,3.7,39.7,14.2,33.8,4.5,6.6,77.5,,44.9,0.1,3.9,42.6,15.2,37.4,5.4,5.5,80.8,,44.3,0.3,2.9,51.8,16.2,46.4,6.1,7.2,83.7,15.8,42.1,0.1,2.8,41.6,,51.2,,13.3,86.2,19.7,51.8,0.8,4.5,38.3,,46.9,,15.5,83.7,21.0,47.8,1.2,6.4
"전국","연령",40∼49세,41.6,15.6,33.8,7.5,11.2,69.2,,44.4,0.2,3.9,38.7,15.5,33.8,6.4,8.1,67.7,,45.3,0.1,5.0,39.2,15.7,31.6,6.4,7.3,67.4,,44.0,0.1,5.3,41.1,15.7,37.8,7.3,5.8,73.0,,46.6,0.1,3.6,51.0,16.9,45.5,8.0,7.9,77.2,18.2,44.1,0.0,2.9,41.3,,52.8,,14.9,79.7,22.6,55.1,0.5,4.6,34.9,,49.9,,16.3,81.4,26.1,55.2,0.7,4.6
"전국","연령",50∼59세,38.2,12.9,28.6,6.8,8.1,67.3,,46.3,0.1,7.2,37.9,12.9,29.4,6.2,6.5,64.7,,42.7,0.2,7.4,36.8,12.8,26.5,5.2,6.5,65.3,,41.5,0.0,7.3,40.4,13.9,33.6,6.1,5.2,66.8,,42.3,0.0,5.8,48.6,16.2,41.5,7.4,6.2,69.6,18.9,43.7,0.1,5.5,44.0,,49.8,,13.0,74.7,22.4,51.2,0.3,6.0,42.1,,50.9,,15.0,74.1,24.7,50.4,0.3,6.5
"전국","연령",60∼69세,28.9,8.5,20.7,5.0,6.8,70.5,,45.4,0.1,11.7,27.9,7.4,20.0,4.7,6.1,69.6,,42.5,0.2,10.0,28.2,7.9,18.4,4.1,4.2,69.0,,44.3,0.0,10.4,32.6,9.1,23.1,5.3,3.2,70.6,,44.6,0.1,7.9,42.1,11.5,33.7,5.9,6.0,72.2,18.0,43.2,0.0,7.5,39.0,,40.2,,9.1,75.5,22.1,51.9,0.2,8.5,38.3,,42.8,,12.0,72.7,23.4,47.7,0.1,9.1
"전국","연령",70∼79세,22.1,6.1,14.2,3.8,5.3,67.5,,44.8,0.3,18.1,22.0,4.7,13.4,3.3,5.1,65.7,,40.7,0.3,17.4,21.3,5.5,10.8,2.7,2.8,64.8,,40.4,0.0,19.1,26.0,6.1,17.2,3.9,2.7,68.2,,41.3,,13.1,34.2,8.2,22.7,4.8,4.0,70.3,19.9,43.1,,14.0,31.3,,29.0,,7.3,73.5,24.7,51.7,0.0,13.6,33.6,,33.2,,7.8,70.9,24.8,44.1,0.0,14.2
"전국","연령",80세 이상,16.2,3.2,11.6,2.1,4.6,62.8,,40.3,0.1,26.9,16.9,4.4,12.3,3.3,3.7,57.3,,36.1,0.2,29.5,18.1,4.4,8.8,2.0,1.8,55.8,,36.8,,28.6,19.6,4.4,11.3,3.1,1.5,62.4,,40.1,,21.4,24.0,6.6,16.5,3.4,2.2,59.6,16.8,40.4,,23.5,25.6,,22.2,,4.6,63.4,21.3,43.6,0.0,24.6,29.5,,29.7,,6.5,65.2,22.5,41.2,,21.6
"전국","연령",60세 이상,25.2,7.1,17.5,4.3,6.0,68.7,,44.7,0.2,15.5,24.4,6.1,16.7,4.0,5.4,66.6,,41.0,0.2,15.2,24.5,6.6,14.4,3.3,3.4,65.9,,42.0,0.0,15.8,28.7,7.5,19.5,4.5,2.8,68.7,,42.9,0.0,11.4,37.2,9.7,27.9,5.2,4.8,70.0,18.5,42.8,0.0,11.7,34.6,,34.0,,7.9,73.2,22.8,50.7,0.1,12.4,35.5,,37.9,,9.9,71.0,23.7,45.6,0.1,12.5
"전국","연령",60∼64세,30.7,9.1,22.7,5.3,6.9,71.3,,45.0,0.1,10.4,29.5,7.6,21.0,5.1,6.1,70.8,,44.2,0.2,8.4,29.7,8.3,20.0,4.2,4.8,67.9,,44.4,,10.2,34.1,9.4,24.5,6.1,3.7,70.2,,45.0,0.1,7.1,45.0,11.7,36.6,5.9,6.1,72.0,17.8,43.6,,6.6,39.4,,42.1,,9.4,76.0,22.3,54.2,0.3,7.8,39.4,,44.8,,12.9,73.7,23.4,48.1,0.1,8.3
"전국","연령",65세 이상,23.0,6.3,15.4,3.9,5.7,67.6,,44.6,0.2,17.5,22.3,5.5,14.9,3.6,5.1,64.9,,39.7,0.2,17.9,22.4,5.9,12.3,3.0,2.9,65.1,,41.0,0.0,18.0,26.4,6.7,17.5,3.9,2.5,68.1,,42.0,,13.2,33.7,8.9,24.1,4.9,4.3,69.1,18.8,42.4,0.0,14.0,32.4,,30.2,,7.2,71.8,23.1,49.0,0.0,14.6,33.7,,34.6,,8.5,69.8,23.8,44.5,0.1,14.6
"전국","연령",65∼69세,26.7,7.8,18.6,4.6,6.6,69.6,,46.0,0.1,13.2,25.8,7.2,18.7,4.2,6.1,68.1,,40.3,0.1,12.0,26.4,7.4,16.4,4.0,3.5,70.4,,44.3,0.1,10.7,30.8,8.8,21.4,4.2,2.7,71.2,,44.1,,8.8,38.3,11.1,30.1,5.8,5.8,72.5,18.2,42.6,,8.7,38.3,,37.3,,8.8,74.8,21.8,48.5,0.0,9.6,36.8,,39.9,,10.9,71.3,23.4,47.2,0.1,10.3
