"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(1)","특성별(1)",특성별(2),여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건,일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","종사상지위",임금근로자,43.0,14.9,36.9,6.7,9.2,73.1,,43.8,0.1,4.2,41.2,15.4,35.5,6.0,7.5,69.2,,43.4,0.1,5.0,40.9,15.6,33.3,5.6,6.2,69.9,,42.1,0.1,5.3,43.8,16.2,38.4,6.6,4.9,72.7,,41.7,0.2,3.9,53.3,17.4,45.5,8.2,6.3,76.0,17.1,41.0,0.1,3.4,44.1,,51.5,,12.2,79.1,20.8,49.9,0.6,5.8,39.9,,49.2,,13.7,78.6,22.8,49.2,0.8,6.8
"전국","종사상지위",고용주,41.0,19.2,27.6,8.1,8.2,71.4,,45.2,0.2,4.1,38.1,20.0,26.7,7.5,6.0,71.8,,47.9,,3.7,37.0,18.2,28.8,7.6,4.0,70.3,,43.9,0.0,4.7,40.4,18.4,28.9,7.4,3.2,73.7,,47.7,0.2,4.2,48.6,18.7,38.6,8.8,4.2,77.9,17.1,45.0,,3.8,41.9,,46.7,,10.6,82.6,22.6,57.0,0.5,4.8,36.5,,45.2,,13.8,79.7,26.5,54.9,0.7,5.0
"전국","종사상지위",자영자,37.7,13.1,26.6,6.6,7.7,69.1,,44.3,0.2,8.0,33.8,10.2,26.5,5.9,6.1,69.3,,42.7,0.4,8.6,33.0,10.0,22.5,4.8,5.0,68.2,,43.1,0.0,8.3,37.7,12.9,28.9,6.5,4.4,70.3,,42.5,0.1,6.0,45.8,15.0,37.0,6.2,6.2,72.7,18.2,42.2,0.1,6.7,39.5,,42.1,,11.1,76.2,21.5,52.4,0.3,8.6,36.7,,43.5,,12.6,77.4,25.1,50.3,0.6,8.0
"전국","주관적 만족감",만족,44.3,16.8,33.5,7.1,6.8,75.2,,45.1,0.1,3.8,44.6,16.2,33.2,6.7,5.3,72.2,,44.1,0.0,5.0,42.1,16.3,31.1,5.9,5.4,72.8,,42.9,0.1,5.2,44.8,16.4,35.2,7.4,4.3,74.7,,42.7,0.2,4.6,53.7,16.7,43.0,7.4,5.7,78.7,17.0,41.6,0.1,3.8,45.4,,49.7,,11.4,81.1,21.7,50.3,0.5,5.6,40.4,,47.2,,12.4,79.9,24.9,49.4,0.6,6.5
"전국","주관적 만족감",보통,40.8,12.8,32.1,6.1,8.8,69.1,,42.1,0.1,7.6,38.4,12.5,30.2,5.9,6.8,67.1,,41.3,0.2,8.3,38.5,12.4,28.3,5.2,5.6,65.9,,40.8,0.1,8.7,40.4,13.4,32.4,6.3,4.6,70.1,,41.2,0.1,6.6,49.5,14.8,40.0,7.2,6.4,73.1,16.9,40.4,0.1,6.4,41.9,,45.6,,12.4,75.8,20.6,49.1,0.5,8.5,39.0,,44.2,,13.7,72.9,22.4,46.3,0.5,10.6
"전국","주관적 만족감",불만족,38.2,11.2,31.3,6.0,9.3,68.8,,44.2,0.1,9.2,35.5,11.2,30.9,5.9,7.9,65.2,,42.7,0.2,10.2,34.4,11.0,26.7,5.5,6.1,62.8,,39.5,0.1,12.4,39.2,12.3,33.4,6.1,5.7,66.6,,40.5,0.1,8.5,47.6,14.9,41.1,7.9,6.6,68.6,17.3,40.2,0.1,8.3,40.2,,44.4,,11.5,70.7,20.3,47.4,0.7,11.3,39.1,,46.1,,14.4,71.9,22.0,46.8,1.1,10.3
"전국","가구소득",50만원 미만,24.7,6.9,17.8,4.3,6.6,64.0,-,41.3,0.1,19.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",50~100만원 미만,33.1,9.4,24.1,5.9,9.7,65.8,-,43.3,0.2,12.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",100만원 미만,-,-,-,-,-,-,-,-,-,-,28.2,7.4,20.0,5.4,6.4,61.7,,37.5,0.4,15.9,29.3,8.7,18.6,4.6,4.3,61.3,,37.8,0.1,16.1,33.7,8.9,21.7,5.2,3.4,64.4,,37.7,0.1,12.4,38.3,10.5,27.5,6.0,5.0,65.4,17.0,38.0,0.0,14.4,34.8,,33.8,,8.3,69.9,21.9,44.5,0.4,15.5,36.0,,35.1,,10.9,64.4,21.0,40.8,0.4,16.8
"전국","가구소득",100∼200만원 미만,39.2,11.3,32.6,6.0,8.9,68.3,,42.6,0.2,7.9,37.7,10.4,30.0,5.9,7.2,64.7,,39.6,0.1,9.5,36.8,10.5,28.0,5.0,6.0,63.8,,39.6,0.0,10.4,37.6,12.1,31.6,6.4,5.0,66.5,,39.2,0.1,8.1,47.0,13.3,36.7,6.9,7.4,68.2,17.8,39.8,0.1,8.7,40.0,,41.8,,12.1,70.8,21.2,46.9,0.3,11.2,40.2,,41.8,,13.6,69.8,21.3,42.9,0.5,12.0
"전국","가구소득",200∼300만원 미만,41.6,13.4,34.6,6.5,9.7,70.5,,43.7,0.1,6.1,39.0,13.4,32.5,6.2,7.0,69.0,,44.1,0.1,6.7,39.7,12.3,30.3,5.7,6.4,66.6,,41.0,0.1,7.6,42.1,14.1,35.5,7.1,5.4,70.1,,40.8,0.2,5.3,51.5,16.1,41.8,8.2,7.5,71.3,16.3,39.7,0.1,6.1,43.2,,45.3,,13.1,75.8,20.1,49.0,0.4,7.8,39.5,,45.9,,14.5,73.7,22.7,46.6,0.6,9.1
"전국","가구소득",300∼400만원 미만,43.0,14.2,34.2,7.0,8.5,72.7,,43.5,0.2,5.4,42.1,14.3,34.6,6.3,6.9,68.9,,43.8,0.0,6.2,42.2,14.7,32.0,5.6,5.5,71.2,,42.2,0.1,5.6,43.4,14.2,36.1,6.7,5.0,73.4,,43.1,0.1,5.1,52.3,16.4,46.1,8.1,6.2,75.6,16.6,40.2,0.1,4.0,45.5,,48.8,,13.4,77.8,21.1,49.4,0.6,6.2,39.5,,47.1,,14.8,76.4,23.2,48.6,0.6,7.9
"전국","가구소득",400∼500만원 미만,46.0,15.1,35.4,6.6,7.6,74.2,,45.8,0.1,4.4,45.6,16.8,35.4,6.8,6.5,72.3,,45.0,0.1,4.8,41.7,16.2,32.1,5.6,6.1,71.8,,44.9,0.0,5.1,44.3,16.7,37.6,6.1,5.0,76.2,,43.3,0.2,4.1,53.0,15.5,44.1,7.2,6.5,77.5,17.8,41.9,0.1,3.5,45.6,,52.2,,12.4,80.1,20.0,51.6,0.8,5.1,39.2,,48.5,,13.0,78.7,24.5,50.4,1.1,7.3
"전국","가구소득",500∼600만원 미만,48.2,19.4,35.9,6.7,7.3,75.1,,42.4,0.1,2.9,42.0,19.1,35.4,6.6,6.9,72.4,,45.5,0.2,3.8,44.8,20.6,31.7,5.8,5.0,71.5,,42.7,0.2,4.5,46.1,16.9,36.8,7.0,4.4,75.6,,46.7,0.2,3.7,54.3,17.3,45.9,7.6,5.4,80.0,16.8,42.5,0.1,2.8,43.8,,52.2,,11.2,82.6,20.6,52.3,0.4,4.9,40.6,,49.9,,14.9,79.7,24.9,49.8,0.8,6.1
"전국","가구소득",600만원 이상,49.9,19.4,35.1,6.3,5.5,73.9,-,44.7,0.0,3.3,48.2,18.6,35.5,6.3,4.7,73.7,-,45.6,0.2,3.7,44.1,21.1,33.5,7.1,5.0,75.5,-,44.5,0.1,3.4,48.4,19.7,35.8,7.8,3.7,75.9,-,44.1,0.2,3.5,55.6,18.8,45.5,7.4,4.4,81.7,17.2,44.2,-,2.8,46.1,-,54.2,-,10.8,82.8,22.0,51.5,0.6,4.9,40.7,-,49.9,-,11.9,81.5,24.6,52.3,0.8,6.0
"전국","연령*성별",13∼19세*남자,-,-,-,-,-,-,-,-,-,-,50.5,17.1,30.9,10.3,3.6,52.6,,30.8,0.1,18.9,48.2,20.1,29.2,10.3,3.8,53.7,,29.8,0.1,16.6,49.4,20.1,34.6,10.3,3.2,59.6,,30.1,0.2,12.8,57.4,19.6,37.6,10.6,5.9,64.0,16.0,28.3,,12.7,47.3,,41.1,,12.1,68.7,19.5,37.2,0.7,16.0,42.8,,36.7,,13.1,62.6,23.2,34.7,1.1,20.3
"전국","연령*성별",13∼19세*여자,-,-,-,-,-,-,-,-,-,-,62.4,11.5,45.3,7.9,5.0,63.9,,38.6,0.0,7.1,60.4,12.3,42.6,7.3,4.7,64.1,,37.8,,6.9,61.2,13.1,45.5,9.3,4.6,71.8,,35.1,,4.4,70.2,11.1,57.2,7.3,5.2,72.6,15.4,32.8,0.1,3.9,66.3,,62.9,,9.3,74.8,17.2,36.1,0.1,5.8,59.4,,55.7,,10.4,71.4,18.4,42.9,0.6,7.6
"전국","연령*성별",15~19세*남자,48.2,15.0,32.2,7.5,5.7,54.7,,33.0,0.2,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,-,-,-,-,-,-
"전국","연령*성별",15~19세*여자,62.9,9.4,50.1,5.6,7.0,63.7,,39.5,0.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,-,-,-,-,-,-
"전국","연령*성별",20∼29세*남자,49.2,20.1,34.6,8.8,7.4,64.7,,33.8,0.1,8.6,46.2,21.3,32.3,9.2,6.4,60.7,,33.5,0.2,8.8,43.2,23.4,29.2,8.7,3.4,62.2,,33.6,0.3,9.2,47.1,26.3,27.6,12.7,3.7,63.9,,33.1,0.6,7.7,55.9,28.1,37.0,15.6,5.3,68.0,13.5,32.0,0.2,6.9,44.7,,38.3,,11.7,69.9,18.7,40.0,2.0,14.4,35.9,,32.3,,13.2,65.1,21.6,38.1,3.2,19.7
"전국","연령*성별",20∼29세*여자,53.5,11.6,47.5,4.8,9.0,73.8,,41.0,0.2,3.4,52.9,12.1,46.5,5.4,8.2,70.9,,43.6,0.1,2.4,53.4,11.2,44.4,4.1,6.8,72.1,,41.2,0.1,3.4,57.9,12.1,50.7,4.5,6.2,74.0,,36.5,0.3,2.3,69.0,12.4,56.2,5.9,6.4,77.2,12.9,36.2,0.3,1.8,60.1,,64.5,,12.6,81.9,14.7,42.5,0.4,2.3,54.2,,62.2,,12.9,77.2,17.9,45.7,0.3,4.5
"전국","연령*성별",30∼39세*남자,41.5,18.2,33.6,7.0,8.0,78.1,,42.8,0.1,3.9,38.2,16.8,31.6,6.4,6.1,76.8,,42.7,0.1,4.9,38.9,17.6,31.8,6.0,5.4,74.0,,40.6,0.0,6.3,42.9,19.9,34.9,7.4,3.9,76.0,,38.6,0.3,4.4,51.8,21.3,43.0,8.8,5.8,79.9,15.1,37.8,0.1,4.0,42.3,,45.5,,11.8,83.7,20.2,48.3,1.3,6.9,37.4,,40.2,,15.0,78.1,20.1,42.7,1.8,10.6
"전국","연령*성별",30∼39세*여자,40.5,10.2,37.3,4.8,11.3,82.7,,50.7,0.1,1.6,35.5,10.9,35.6,3.9,9.4,81.6,,53.2,0.2,2.3,40.5,10.7,35.9,2.9,7.7,81.2,,49.4,0.1,1.3,42.2,10.4,40.0,3.3,7.2,85.9,,50.3,0.3,1.4,51.9,10.8,50.0,3.2,8.6,87.8,16.6,46.7,0.1,1.5,40.8,,57.4,,15.0,88.9,19.1,55.5,0.3,1.8,39.3,,54.3,,16.1,89.7,22.1,53.3,0.5,1.8
"전국","연령*성별",40∼49세*남자,42.8,17.4,33.1,7.9,8.9,69.6,,42.0,0.2,5.1,38.4,17.1,31.5,6.5,5.8,68.4,,41.9,0.1,6.7,41.0,18.4,29.3,6.6,5.7,65.8,,39.8,0.0,7.4,41.7,17.5,35.8,7.9,4.2,72.4,,43.2,0.2,4.8,51.8,19.5,43.0,8.9,6.2,76.2,17.0,40.8,0.0,4.3,42.8,,48.9,,12.0,79.4,21.9,51.2,0.6,7.1,35.8,,47.1,,14.3,79.7,25.9,50.6,1.0,7.1
"전국","연령*성별",40∼49세*여자,40.4,13.8,34.6,7.1,13.5,68.7,,46.9,0.2,2.6,39.0,13.8,36.1,6.3,10.5,67.0,,48.8,0.2,3.2,37.4,12.9,33.9,6.2,9.0,69.0,,48.3,0.1,3.2,40.5,13.8,39.8,6.8,7.4,73.6,,50.1,,2.5,50.2,14.3,48.1,7.0,9.7,78.1,19.4,47.5,0.1,1.4,39.7,,56.7,,17.9,80.1,23.2,59.2,0.5,1.9,34.0,,52.7,,18.3,83.2,26.3,60.1,0.4,2.0
"전국","연령*성별",50∼59세*남자,41.4,15.0,28.7,7.6,7.0,65.2,,42.9,0.0,8.3,39.0,15.7,30.5,7.2,5.4,61.0,,37.7,0.1,9.2,38.7,14.4,27.1,5.8,5.0,63.4,,38.4,0.0,9.5,41.7,14.9,33.6,6.1,4.0,65.5,,39.1,0.0,7.6,50.0,17.5,40.7,7.7,5.0,68.8,18.1,41.6,0.1,6.8,46.2,,49.5,,11.2,72.7,21.0,48.7,0.2,8.5,42.5,,50.1,,12.4,74.2,25.0,47.2,0.4,8.5
"전국","연령*성별",50∼59세*여자,34.9,10.8,28.4,5.9,9.2,69.4,,49.8,0.2,6.0,36.9,10.1,28.4,5.2,7.5,68.4,,47.6,0.2,5.5,34.9,11.2,25.9,4.5,8.0,67.2,,44.5,0.1,5.1,39.1,12.9,33.6,6.2,6.4,68.0,,45.6,0.1,4.1,47.1,14.9,42.3,7.1,7.4,70.4,19.6,45.9,0.2,4.2,41.9,,50.1,,14.8,76.7,23.8,53.7,0.3,3.6,41.7,,51.8,,17.5,74.0,24.4,53.5,0.3,4.5
"전국","연령*성별",60세 이상*남자,28.5,9.3,19.7,5.9,6.3,66.9,,41.4,0.2,13.8,27.7,7.8,19.5,4.9,5.3,66.0,,38.3,0.2,13.3,28.7,8.7,16.1,4.5,3.4,64.4,,38.8,0.0,14.5,32.2,9.8,22.8,5.9,2.4,66.7,,38.4,0.0,11.2,39.2,11.2,30.5,5.9,4.6,69.7,17.0,41.1,,11.4,36.5,,36.4,,8.1,72.3,20.7,48.9,0.1,12.9,36.1,,40.1,,10.0,70.3,23.5,44.9,0.1,13.0
"전국","연령*성별",60세 이상*여자,22.7,5.5,15.9,3.1,5.8,70.1,,47.3,0.1,16.7,21.8,4.7,14.6,3.3,5.5,67.1,,43.1,0.2,16.5,21.2,5.0,13.2,2.5,3.4,67.0,,44.4,0.0,16.7,25.9,5.6,17.0,3.4,3.1,70.3,,46.4,0.0,11.6,35.6,8.6,25.8,4.6,5.1,70.2,19.6,44.1,0.0,11.9,33.1,,32.1,,7.7,73.8,24.6,52.0,0.1,12.1,35.1,,36.0,,9.8,71.7,23.9,46.3,0.1,12.1
"전국","연령*성별",65세 이상*남자,25.8,8.7,17.6,5.7,6.1,64.9,,41.5,0.3,16.3,25.1,7.5,17.5,4.6,5.5,64.4,,36.9,0.2,15.8,27.1,7.6,14.2,3.9,2.8,64.3,,38.7,0.1,16.1,30.5,9.0,20.9,5.2,2.0,65.8,,37.6,,12.7,35.8,10.8,27.3,5.5,4.6,69.1,17.1,41.1,,13.0,34.5,,33.1,,8.1,70.9,20.0,46.9,0.0,14.6,34.8,,36.9,,8.5,69.7,24.2,43.8,0.0,14.3
"전국","연령*성별",65세 이상*여자,21.1,4.7,14.0,2.6,5.4,69.5,,46.7,0.1,18.3,20.3,4.1,13.1,2.9,4.9,65.3,,41.7,0.3,19.3,19.0,4.7,10.9,2.4,2.9,65.6,,42.6,0.0,19.3,23.5,5.0,15.1,2.9,2.8,69.8,,45.2,,13.5,32.2,7.5,21.7,4.4,4.1,69.1,20.0,43.3,0.0,14.7,30.7,,28.0,,6.5,72.5,25.4,50.6,0.0,14.7,33.0,,32.9,,8.5,69.8,23.5,45.0,0.1,14.8
