"성별(1)","연령·교육정도·혼인상태별(1)",2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"성별(1)","연령·교육정도·혼인상태별(1)",임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),비정규직비율 (%),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),비정규직비율 (%),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),비정규직비율 (%),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),비정규직비율 (%),임금 근로자 (천명),정규직 근로자 (천명),비정규직 근로자 (천명),한시적 근로자 (천명),시간제 근로자 (천명),파견 근로자 (천명),용역 근로자 (천명),특수고용 근로자 (천명),가정내 근로자 (천명),일일 근로자 (천명),비정규직비율 (%)
"전체","고졸",7116,4554,2562,1291,854,83,274,291,43,398,7413,4703,2710,1364,932,97,259,280,32,398,7358,4734,2624,1282,948,82,274,258,23,420,7519,4738,2781,1421,1023,100,276,250,27,427,7363,4625,2738,1406,1020,102,285,260,20,377,7581,4700,2881,1423,1167,92,288,264,18,435,7554,4636,2917,1436,1211,83,319,250,11,409,38.6,7402,4489,2913,1477,1210,88,283,244,19,404,39.4,7548,4278,3270,1886,1392,88,290,246,22,394,43.3,7409,4178,3231,1790,1413,73,258,246,16,474,43.6,7566,4083,3483,1994,1505,103,272,269,31,513,46.0
"전체","전문대졸",2827,2144,683,469,141,21,61,71,5,32,2831,2143,688,463,145,29,48,72,5,36,2801,2117,685,472,153,26,53,67,4,34,2826,2141,686,455,161,26,49,69,6,42,2800,2105,695,447,195,36,47,70,4,38,2824,2122,701,458,186,30,59,70,4,31,2919,2168,750,473,239,17,49,78,4,35,25.7,2879,2171,708,426,222,25,33,80,8,36,24.6,2991,2146,844,567,253,30,47,83,1,44,28.2,2980,2159,821,553,265,25,45,76,7,42,27.6,-,-,-,-,-,-,-,-,-,-,-
"전체","대졸이상",6192,4898,1294,916,349,35,51,151,11,27,6270,4983,1287,932,365,30,56,137,4,24,6380,5067,1313,937,403,36,65,137,6,21,6587,5263,1324,962,373,33,72,139,8,31,6768,5448,1320,930,392,38,69,146,8,33,6818,5461,1357,931,438,35,68,132,7,50,7046,5656,1390,950,461,34,64,128,6,39,19.7,7364,5895,1469,1039,494,32,63,127,12,50,19.9,7613,5913,1701,1226,618,34,53,151,8,40,22.3,7675,5983,1692,1180,615,38,55,133,12,61,22.0,11059,8218,2841,2022,1005,66,117,246,28,113,25.7
"전체","미혼",5070,3549,1522,928,542,37,93,71,6,121,5328,3648,1680,1012,630,54,85,83,7,130,5324,3722,1602,981,612,51,94,71,2,120,5612,3853,1758,1057,687,48,93,70,6,156,5533,3896,1637,987,615,63,84,71,4,118,5727,3934,1793,1051,719,53,93,76,3,142,5942,4043,1899,1073,824,43,97,91,4,141,32.0,6015,4161,1853,1070,795,54,105,74,5,152,30.8,6271,4102,2169,1379,925,47,100,88,9,157,34.6,6181,4074,2107,1269,927,39,90,80,8,193,34.1,6509,4176,2333,1442,1057,60,99,115,17,205,35.8
"전체","기혼",13544,9105,4439,2499,1379,132,545,490,73,678,13664,9221,4443,2517,1405,142,523,451,52,685,13665,9213,4452,2456,1483,140,568,438,44,720,13863,9313,4550,2599,1549,163,567,432,49,730,13826,9271,4554,2602,1610,154,616,437,40,648,14016,9329,4687,2620,1769,148,608,426,39,732,14064,9385,4679,2652,1840,145,597,406,26,660,33.3,14031,9270,4761,2753,1913,136,491,432,49,649,33.9,14288,8976,5312,3405,2231,136,515,440,36,591,37.2,14265,8946,5319,3338,2325,126,462,417,41,703,37.3,14484,8750,5733,3729,2456,151,485,445,62,750,39.6
"여자","계",8024,4826,3198,1747,1392,89,286,360,69,259,8196,4925,3271,1789,1450,115,279,340,54,250,8195,4919,3276,1787,1477,100,294,347,45,260,8468,5063,3405,1895,1553,124,308,360,47,271,8459,5043,3416,1891,1626,127,339,363,39,219,8658,5096,3561,1958,1780,100,345,348,40,260,8818,5186,3632,1996,1902,99,313,339,27,203,41.2,8874,5195,3678,2075,1971,92,258,349,49,198,41.4,9163,5038,4125,2547,2310,93,283,347,38,187,45.0,9085,4994,4091,2529,2337,69,247,313,41,214,45.0,9476,4985,4491,2938,2502,102,233,354,62,213,47.4
"여자","15~19세",116,37,79,21,69,1,0,0,0,10,154,41,113,39,91,2,2,0,0,7,119,41,78,27,66,0,0,0,0,4,145,34,111,38,92,1,0,0,0,7,118,41,77,23,67,0,1,1,0,2,149,39,110,37,94,0,1,1,0,5,136,35,101,36,89,0,0,0,0,3,74.3,110,27,83,29,72,1,-,1,-,4,75.5,116,19,97,41,83,2,3,-,1,4,83.7,90,10,80,27,75,0,1,-,0,5,88.9,102,10,93,43,83,-,-,-,2,4,90.5
"여자","20~29세",1726,1188,537,346,213,11,27,10,3,14,1734,1166,569,361,226,21,23,14,4,15,1733,1155,578,379,234,19,24,13,3,12,1781,1207,574,359,228,21,22,15,3,16,1739,1180,559,347,234,31,14,11,2,7,1804,1217,586,383,261,23,12,10,1,8,1850,1231,619,347,326,9,8,19,3,11,33.5,1830,1225,605,374,323,9,7,12,-,11,33.1,1815,1112,703,434,377,9,8,18,5,11,38.7,1772,1082,690,416,380,8,11,14,4,14,39.0,1905,1094,811,524,427,17,12,26,7,19,42.6
"여자","30~39세",1769,1247,522,301,204,16,21,77,15,13,1833,1308,525,296,206,17,13,71,13,17,1802,1269,533,314,209,14,17,66,13,18,1827,1287,540,328,204,16,20,75,10,14,1823,1279,544,322,242,18,18,72,9,14,1814,1282,532,301,254,14,24,64,12,18,1822,1295,528,302,246,22,19,49,6,13,29.0,1834,1291,543,318,243,12,17,53,17,10,29.6,1867,1281,586,380,287,13,13,52,5,10,31.4,1743,1227,516,321,247,11,11,46,6,18,29.6,1751,1248,504,327,241,6,8,44,7,13,28.8
"여자","40~49세",2071,1280,790,418,300,20,57,148,21,49,2072,1300,772,400,292,29,47,138,15,44,2069,1291,778,403,333,19,41,134,9,43,2117,1348,769,417,306,30,47,131,11,50,2140,1352,788,411,341,26,43,142,8,39,2131,1352,778,407,340,16,48,134,4,40,2126,1354,771,416,365,18,47,116,5,29,36.3,2099,1367,732,387,352,22,38,107,16,34,34.9,2091,1305,786,456,386,15,36,112,10,33,37.6,2042,1275,767,460,349,8,33,103,7,25,37.6,2084,1228,856,557,396,12,32,105,15,25,41.1
