"성별(1)","직업별(1)",2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 1/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2014 2/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 1/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2015 2/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 1/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2016 2/2,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"성별(1)","직업별(1)",임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자,임금근로자,정규직,비정규직,한시적근로자,시간제근로자,파견근로자,용역근로자,특수고용근로자,가정내근로자,일일근로자
"전체","단순노무 종사자",2807,1056,1751,960,709,47,407,40,40,374,2950,1085,1865,1037,754,52,406,50,47,397,2978,1103,1875,1026,749,49,454,43,32,404,3082,1129,1954,1089,835,65,442,42,30,425,3005,1085,1920,1095,814,63,475,44,25,374,3131,1119,2012,1117,876,62,478,47,24,446,3181,1151,2030,1139,945,64,460,42,17,412,3140,1058,2082,1216,983,62,407,39,26,404,3258,952,2305,1528,1118,48,437,50,21,370,3504,1016,2489,1592,1272,58,381,67,17,455,3680,971,2709,1805,1365,82,413,89,21,472
"여자","계",8024,4826,3198,1747,1392,89,286,360,69,259,8196,4925,3271,1789,1450,115,279,340,54,250,8195,4919,3276,1787,1477,100,294,347,45,260,8468,5063,3405,1895,1553,124,308,360,47,271,8459,5043,3416,1891,1626,127,339,363,39,219,8658,5096,3561,1958,1780,100,345,348,40,260,8818,5186,3632,1996,1902,99,313,339,27,203,8874,5195,3678,2075,1971,92,258,349,49,198,9163,5038,4125,2547,2310,93,283,347,38,187,9085,4994,4091,2529,2337,69,247,313,41,214,9476,4985,4491,2938,2502,102,233,354,62,213
"여자","관리자",30,26,3,2,0,-,-,1,-,-,30,28,2,2,0,-,-,-,-,-,19,16,3,2,0,-,-,-,-,-,29,27,3,3,0,-,-,-,-,-,24,22,2,1,1,-,-,-,-,-,22,17,5,3,1,-,-,1,-,-,33,29,4,4,2,-,-,0,-,-,42,37,5,4,2,-,-,-,-,-,48,40,8,6,3,1,-,-,-,-,52,43,9,6,2,1,0,-,-,-,51,39,12,9,1,-,-,4,-,-
"여자","전문가 및 관련 종사자",1922,1314,608,410,251,12,9,58,4,4,1965,1350,614,422,244,10,8,54,2,-,1997,1377,620,427,260,9,6,67,4,-,2068,1426,642,458,244,14,5,74,5,1,2044,1401,642,460,266,9,6,74,5,1,2092,1433,659,473,282,10,7,61,3,1,2193,1516,677,461,309,17,5,63,2,1,2235,1563,673,474,307,7,5,57,6,2,2292,1546,746,550,354,10,3,67,4,1,2197,1526,671,494,299,5,2,51,5,3,2405,1586,819,643,364,6,3,60,9,2
"여자","사무 종사자",1886,1467,418,345,107,12,30,5,6,3,1929,1482,447,351,137,15,21,3,2,5,1930,1472,459,356,147,18,27,4,3,4,1903,1486,418,324,132,14,25,6,5,3,1999,1577,422,315,143,16,17,6,3,3,2034,1594,441,320,170,14,23,7,6,1,2072,1615,457,329,175,11,21,6,7,0,2175,1693,482,349,178,15,20,10,10,-,2249,1686,563,411,226,12,13,11,3,5,2233,1713,521,365,229,11,14,7,5,2,2307,1730,577,439,217,12,12,10,5,5
"여자","서비스 종사자",1173,637,536,253,317,11,16,7,6,52,1214,665,549,256,327,16,20,9,0,54,1221,657,564,294,333,16,17,9,2,49,1282,680,601,298,372,12,22,14,4,50,1242,639,603,280,409,18,33,12,4,43,1338,693,645,302,455,13,25,12,2,45,1324,629,694,348,488,16,22,10,2,41,1332,584,748,367,531,17,16,17,1,42,1438,559,879,471,640,14,25,17,3,35,1408,545,863,500,609,8,18,11,5,47,1464,537,927,552,653,16,18,27,16,38
"여자","판매 종사자",943,400,544,143,182,22,28,264,1,16,952,403,549,144,191,28,20,257,1,16,934,409,525,136,197,21,17,242,1,16,981,440,541,146,199,31,17,237,2,20,969,423,545,161,195,24,18,245,1,12,957,391,566,171,209,21,24,244,1,12,980,402,578,168,249,22,22,235,-,9,947,395,552,159,237,24,15,242,1,5,932,351,581,211,260,28,11,226,2,9,898,325,574,185,274,16,11,214,2,11,879,291,588,194,296,19,7,219,7,15
"여자","농림어업숙련 종사자",13,6,7,2,2,-,-,-,-,4,9,6,3,2,2,-,-,-,-,1,6,2,4,2,2,-,-,-,-,2,9,3,6,1,3,-,-,-,-,5,5,1,3,2,0,-,-,-,-,1,9,5,4,1,3,-,0,-,-,2,7,3,5,2,2,-,1,-,-,1,9,5,4,1,3,-,0,-,-,1,14,6,8,5,3,-,-,-,-,2,9,4,5,2,3,-,-,-,-,0,9,3,6,2,2,1,-,-,-,3
"여자","기능원 및 관련기능 종사자",187,133,55,28,15,-,1,-,4,16,179,136,44,26,11,0,2,-,3,8,205,153,52,25,15,1,2,0,-,17,203,151,52,30,18,-,1,0,-,12,201,152,49,25,20,1,5,-,1,10,218,152,66,26,27,1,4,-,4,23,223,149,73,39,22,2,6,1,-,19,202,140,61,26,24,0,1,2,2,18,198,131,67,31,33,1,3,2,4,13,187,108,78,38,36,2,6,1,5,22,189,108,82,50,35,2,2,-,4,20
"여자","장치기계조작 및 조립 종사자",371,292,79,53,17,5,13,1,9,6,380,303,78,46,14,12,13,1,2,3,355,296,59,34,16,7,8,0,4,5,378,293,85,52,16,12,10,1,2,6,386,289,97,55,19,19,9,1,3,2,345,264,81,52,17,9,9,1,2,1,351,272,79,53,18,4,15,2,-,2,336,271,65,48,15,5,11,0,3,2,320,250,69,54,17,1,8,-,2,3,302,240,61,42,20,0,5,1,2,2,297,227,70,40,21,1,10,-,2,7
