"성별","산업중분류별",2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"성별","산업중분류별",월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%)
"전체","사업시설관리및사업지원서비스업(74~75)",1490829,1470505,243886,-,1491326,1479283,144510,-,1553356,1542057,135588,-,1605320,1596070,110994,-,1693561,1673205,244266,-,1829361,1816657,152443,-,1811217,1805163,72652,-,1855000,1846000,109000,-,1989000,1977000,146000,-,2055000,2044000,139000,-,2216000,2210000,72000,-
"전체","교육서비스업(85)",1633160,1628098,60747,-,1696526,1690381,73743,-,1827412,1822751,55927,-,1828562,1824370,50308,-,1833087,1827678,64909,-,1834318,1828723,67136,-,1803226,1798598,55536,-,1896000,1891000,54000,-,2037000,2029000,92000,-,2125000,2110000,178000,-,2137000,2131000,74000,-
"전체","보건업및사회복지서비스업(86~87)",1714598,1701187,160935,-,1778156,1767040,133387,-,1797949,1786910,132470,-,1805583,1798583,83994,-,1852338,1843597,104892,-,1816880,1809735,85735,-,1892315,1883922,100711,-,1899000,1891000,91000,-,2022000,2014000,106000,-,2137000,2130000,87000,-,2114000,2101000,152000,-
"전체","예술,스포츠및여가관련서비스업(90~91)",1482870,1464440,221158,-,1562473,1547434,180462,-,1668180,1660452,92734,-,1739306,1727091,146582,-,1715350,1709003,76159,-,1740436,1734180,75077,-,1609839,1604188,67808,-,1837000,1830000,84000,-,1997000,1986000,133000,-,2026000,2018000,93000,-,2127000,2120000,81000,-
"전체","협회및단체,수리및기타개인서비스업(94~96)",1532185,1518087,169172,-,1547068,1532352,176587,-,1616138,1607113,108300,-,1584325,1572174,145806,-,1612834,1606214,79441,-,1560871,1551881,107885,-,1512828,1505188,91676,-,1625000,1610000,188000,-,1786000,1778000,104000,-,1939000,1930000,108000,-,2068000,2062000,80000,-
"여자","전체",1393148,1379113,168414,72.6,1451473,1439545,143134,73.1,1530554,1516861,164310,74.1,1557689,1545381,147694,73.0,1612640,1599175,161575,73.1,1636653,1625025,139540,72.1,1643004,1633048,119473,69.9,1726000,1714000,133000,71.3,1812000,1801000,141000,71.6,1947000,1936000,133000,72.7,2055000,2042000,153000,74.6
"여자","농업,임업및어업(01~03)",1200539,1181730,225705,70.0,1304260,1298405,70261,73.9,1313292,1301178,145367,73.7,1309326,1301502,93884,74.7,1409990,1401215,105302,73.1,1512860,1506440,77036,82.7,1520089,1511744,100140,77.5,1685000,1679000,79000,84.4,1739000,1734000,58000,84.6,1793000,1776000,204000,80.7,1895000,1882000,148000,84.5
"여자","광업(05~08)",1505710,1477288,341067,69.4,1498098,1495263,34022,64.9,1639540,1629365,122098,70.3,1545040,1534676,124364,64.1,1698429,1690720,92502,67.3,1777757,1759558,218382,68.2,1771783,1752295,233858,69.8,1755000,1755000,4000,62.1,1910000,1892000,217000,62.3,2105000,2104000,3000,67.3,2068000,2030000,457000,63.0
"여자","제조업(10~33)",1303258,1285593,211983,70.4,1375616,1361871,164936,71.7,1476646,1457251,232743,73.5,1548255,1529332,227080,74.5,1632620,1609962,271900,74.5,1694478,1676585,214712,73.8,1741392,1723615,213321,73.6,1888000,1871000,203000,76.2,1934000,1920000,168000,76.4,2083000,2065000,222000,77.8,2190000,2174000,191000,79.0
"여자","전기,가스,증기및수도사업(35~36)",1285145,1264644,246009,66.0,1332514,1299561,395436,63.8,1453095,1439994,157206,62.9,1672013,1640678,376015,71.8,1743219,1723400,237826,76.1,1938085,1921958,193526,82.7,2132932,2105804,325530,79.9,2023000,2010000,160000,71.7,2136000,2109000,324000,71.7,2486000,2459000,335000,75.8,2442000,2407000,419000,80.4
