구분,기업명,분류,시도
161,부산도시공사,공공기관,부산
162,부산시설공단,공공기관,부산
163,부산여성가족개발원,공공기관,부산
164,부산지방공단스포원,공공기관,부산
165,서울올림픽기념국민체육진흥공단,공공기관,서울
166,서울특별시 서대문구청,공공기관,서울
167,안양시시설관리공단,공공기관,경기
168,경기도 안양시청,공공기관,경기
169,여수광양항만공사,공공기관,전남
170,오산시시설관리공단,공공기관,경기
171,우체국금융개발원,공공기관,서울
172,의정부시 시설관리공단,공공기관,경기
173,인천광역시 부평구청,공공기관,인천
174,인천항만공사,공공기관,인천
175,전라북도 익산시청,공공기관,전북
176,제주특별자치도청,공공기관,제주
177,충청남도 당진시청,공공기관,충남
178,충청남도 천안시청,공공기관,충남
179,한국감정원,공공기관,대구
180,한국과학기술연구원,공공기관,서울
181,한국과학창의재단,공공기관,서울
182,한국교육학술정보원,공공기관,대구
183,한국방송공사,공공기관,서울
184,한국보건의료인국가시험원,공공기관,서울
185,한국석유공사,공공기관,울산
186,한국예탁결제원,공공기관,부산
187,한국원자력안전기술원,공공기관,대전
188,(재)한국장애인개발원,공공기관,서울
189,한국전력거래소,공공기관,전남
190,한국전력기술㈜,공공기관,경북
191,한국지역난방공사,공공기관,경기
192,한국지질자원연구원,공공기관,대전
193,한국천문연구원,공공기관,대전
194,한국한의학연구원,공공기관,대전
195,㈜교보문고,대기업,경기
196,엠플러스에프엔씨㈜,중소기업,강원
197,금호고속㈜,대기업,광주
198,대성에너지㈜,대기업,대구
199,도시바일렉트로닉스코리아㈜,대기업,서울
200,롯데로지스틱스㈜,대기업,서울
201,롯데지알에스 주식회사,대기업,서울
202,롯데정보통신㈜,대기업,서울
203,롯데카드 주식회사,대기업,서울
204,롯데푸드㈜,대기업,서울
205,㈜호텔롯데,대기업,서울
206,㈜호텔롯데 롯데면세점,대기업,서울
207,주식회사 벡스코,공공기관,부산
208,㈜부산은행,대기업,부산
209,롯데비피화학㈜,대기업,서울
210,삼성선물㈜,대기업,서울
211,삼성전기㈜,대기업,경기
212,삼성전자㈜,대기업,경기
213,롯데정밀화학㈜,대기업,울산
214,코닝정밀소재주식회사,대기업,충남
215,한화에어로스페이스㈜,대기업,경남
216,삼성에스디아이㈜,대기업,경기
217,삼성에스디에스㈜,대기업,서울
218,㈜서원유통,대기업,부산
219,㈜신한서브,중소기업,서울
220,㈜신한은행,대기업,서울
221,애경산업㈜,대기업,서울
222,에스케이브로드밴드주식회사,대기업,서울
223,에쓰-오일(S-OIL)㈜,대기업,서울
224,㈜우리은행,대기업,서울
225,㈜우진산전,대기업,충북
226,㈜제이앤비컨설팅,중소기업,서울
227,케이비생명보험 주식회사,대기업,서울
228,㈜코리아세븐,대기업,서울
229,㈜포스코건설,대기업,경북
230,주식회사 하나금융지주,대기업,서울
231,주식회사 하나은행,대기업,서울
232,㈜한국고용정보,대기업,강원
233,㈜한솔교육,대기업,서울
234,㈜한화,대기업,서울
235,한화손해사정 주식회사,대기업,서울
236,한화케미칼㈜,대기업,서울
237,한화호텔앤드리조트㈜,대기업,서울
238,㈜호텔신라,대기업,서울
239,효성ITX㈜,대기업,서울
240,주식회사 씨제이헬로비전,대기업,서울
241,에스케이텔레콤㈜,대기업,서울
242,주식회사 EG,대기업,충남
243,주식회사그랜드,중소기업,강원
244,주식회사기전사,중소기업,인천
245,농업회사법인주식회사 금돈,중소기업,강원
246,㈜아리네트웍스,중소기업,서울
247,사단법인늘푸름 늘푸름보호작업장,중소기업,서울
248,대신통신기술㈜,중소기업,서울
249,㈜대열보일러,중소기업,경기
250,㈜덕산코트랜,중소기업,대구
251,주식회사 델리팜,중소기업,서울
252,(합자회사) 동양아이텍,중소기업,강원
253,주식회사 디 엔 비,중소기업,경기
254,㈜떡파는사람들,중소기업,대구
255,주식회사 명문코리아,중소기업,서울
256,㈜모든테크,중소기업,경기
257,사단법인 문화프로덕션 도모,중소기업,강원
258,벡톤디킨슨코리아 주식회사,대기업,서울
259,범일산업㈜,중소기업,인천
260,부건비엠㈜,중소기업,서울
261,부산의용촌 GNT,중소기업,부산
262,브니엘네이처주식회사,중소기업,인천
263,비타민하우스㈜,중소기업,광주
264,주식회사삼영이앤티,중소기업,대구
265,주식회사삼진보안,중소기업,대구
266,㈜트라비스엘리베이터,중소기업,경기
267,㈜서울에프엔비,중소기업,강원
268,주식회사선재하이테크,중소기업,부산
269,세계실업㈜,중소기업,대구
270,세계유압,중소기업,경남
271,㈜센텍코리아,중소기업,경기
