"성별","직업대분류별","교육정도별",2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019
"성별","직업대분류별","교육정도별",월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%),월임금총액 (원),월급여액 (원),정액급여 (원),초과급여 (원),연간특별급여액 (원),임금격차 (%)
"전체","관리자","전문대졸",3735050,3178997,3082518,96479,6672634,-,3868897,3283609,3199211,84397,7023452,-,4113961,3425913,3328223,97689,8256579,-,4322641,3655084,3547327,107757,8010684,-,4529967,3847764,3674661,173103,8186437,-,5450408,4785882,4540336,245545,7974311,-,5771095,4965326,4769208,196118,9669231,-,6096000,5191000,4978000,212000,10863000,-,5711000,5055000,4848000,207000,7871000,-,7131000,6214000,5955000,260000,11002000,-,7406000,6633000,6382000,251000,9275000,-
"전체","관리자","대졸이상",5646982,4751795,4702600,49194,10742244,-,5885662,4975820,4921596,54225,10918108,-,6345484,5221467,5160473,60994,13488207,-,6426515,5318449,5258055,60394,13296791,-,7098757,6076259,5990969,85290,12269976,-,7991757,6778257,6666553,111704,14562005,-,8658750,7331466,7200662,130803,15927413,-,9028000,7578000,7442000,136000,17399000,-,9008000,7689000,7529000,160000,15832000,-,9339000,7940000,7770000,170000,16788000,-,10323000,8976000,8843000,133000,16158000,-
"전체","전문가 및 관련 종사자","계",3180254,2696829,2612918,83911,5801095,-,3281189,2810645,2717646,92998,5646525,-,3400944,2925758,2826462,99296,5702234,-,3492397,3053503,2947802,105701,5266731,-,3574674,3103261,2989397,113864,5656954,-,3659193,3146926,3028543,118384,6147200,-,3778541,3267285,3131673,135612,6135068,-,3878000,3334000,3208000,126000,6528000,-,3963000,3465000,3323000,142000,5981000,-,4090000,3558000,3410000,148000,6385000,-,4221000,3685000,3530000,155000,6435000,-
"전체","전문가 및 관련 종사자","중졸이하",2199118,1827424,1673533,153891,4460323,-,2395346,2029469,1863937,165531,4390518,-,2177906,1891383,1731387,159996,3438279,-,2356336,2073964,1917996,155968,3388469,-,2665496,2276757,2070130,206627,4664867,-,2031206,1778532,1650372,128161,3032093,-,2343476,2166058,2039203,126855,2129011,-,2673000,2406000,2263000,143000,3205000,-,2724000,2475000,2326000,150000,2987000,-,3240000,2932000,2736000,197000,3695000,-,3142000,2909000,2684000,225000,2804000,-
"전체","전문가 및 관련 종사자","고졸",2372683,2022179,1902991,119189,4206053,-,2370386,2046061,1915643,130419,3891903,-,2577779,2187463,2036508,150955,4683795,-,2558158,2238162,2076111,162052,3839951,-,2684830,2284310,2116054,168257,4806237,-,2825459,2373511,2203216,170295,5423375,-,2635842,2328118,2171240,156878,3692692,-,2824000,2450000,2283000,167000,4481000,-,2953000,2576000,2403000,172000,4523000,-,3018000,2629000,2458000,171000,4673000,-,3248000,2806000,2635000,171000,5303000,-
"전체","전문가 및 관련 종사자","전문대졸",2333612,2025243,1926718,98525,3700433,-,2371614,2077915,1972126,105789,3524384,-,2479436,2177269,2061038,116232,3626007,-,2488323,2247391,2130048,117343,2891181,-,2614090,2331365,2199896,131469,3392703,-,2695388,2390086,2251370,138716,3663627,-,2714426,2447075,2319955,127120,3208210,-,2806000,2519000,2384000,135000,3450000,-,2854000,2602000,2450000,152000,3028000,-,2992000,2715000,2570000,145000,3322000,-,3109000,2841000,2692000,148000,3222000,-
"전체","전문가 및 관련 종사자","대졸이상",3632162,3061940,2989958,71982,6842666,-,3733929,3180563,3098114,82449,6640389,-,3864987,3313826,3229040,84786,6613930,-,3979878,3455535,3362852,92683,6292116,-,4064623,3515409,3417606,97803,6590562,-,4100447,3511869,3407721,104149,7062931,-,4279954,3661877,3526509,135368,7416923,-,4349000,3704000,3585000,118000,7746000,-,4412000,3829000,3694000,135000,7001000,-,4532000,3912000,3767000,145000,7442000,-,4646000,4026000,3871000,155000,7445000,-
"전체","사무 종사자","계",2865047,2367193,2283489,83705,5974243,-,2931786,2447381,2355124,92257,5812860,-,3166780,2630888,2523990,106898,6430709,-,3315078,2804922,2695604,109318,6121867,-,3389931,2866182,2746642,119539,6284990,-,3575447,3007092,2878282,128810,6820256,-,3634421,3097533,2966160,131374,6442650,-,3697000,3169000,3046000,122000,6335000,-,3745000,3238000,3105000,133000,6083000,-,3962000,3428000,3288000,140000,6406000,-,4131000,3581000,3441000,139000,6609000,-
"전체","사무 종사자","중졸이하",2629520,2138146,1982329,155817,5896492,-,2696370,2235347,2051870,183477,5532274,-,2998827,2399560,2165620,233940,7191209,-,3118379,2603283,2391801,211482,6181150,-,3071161,2567203,2329285,237918,6047490,-,2923594,2506486,2276112,230374,5005294,-,3129728,2726148,2483446,242701,4842957,-,3434000,2985000,2780000,206000,5386000,-,3360000,2920000,2688000,232000,5285000,-,3644000,3273000,3006000,267000,4450000,-,3742000,3404000,3224000,180000,4060000,-
"전체","사무 종사자","고졸",2580549,2113944,2010196,103748,5599256,-,2652739,2204625,2089736,114889,5377363,-,2835853,2343306,2202223,141083,5910567,-,2868823,2427322,2277831,149490,5298006,-,2928606,2474316,2325383,148932,5451481,-,3166276,2641562,2482709,158853,6296568,-,3059849,2638388,2478425,159964,5057527,-,3115000,2705000,2560000,145000,4921000,-,3159000,2767000,2613000,154000,4701000,-,3412000,2999000,2837000,162000,4962000,-,3560000,3140000,2978000,162000,5031000,-
"전체","사무 종사자","전문대졸",2335221,1968001,1890628,77372,4406645,-,2392847,2054948,1970642,84306,4054792,-,2608930,2230689,2126788,103902,4538894,-,2753481,2376244,2274585,101659,4526843,-,2821733,2429249,2309140,120109,4709804,-,3026446,2576978,2449471,127507,5393612,-,3020807,2640521,2514076,126445,4563436,-,3108000,2718000,2596000,123000,4669000,-,3185000,2799000,2663000,136000,4635000,-,3341000,2972000,2836000,136000,4431000,-,3464000,3089000,2962000,127000,4504000,-
"전체","사무 종사자","대졸이상",3303189,2722309,2649320,72989,6970562,-,3327024,2757971,2676425,81546,6828641,-,3568987,2947506,2859447,88059,7457771,-,3753951,3159266,3068817,90449,7136216,-,3842617,3234428,3132206,102222,7298272,-,3973910,3340143,3226137,114005,7605202,-,4105021,3462008,3343046,118962,7716156,-,4149000,3523000,3412000,111000,7514000,-,4176000,3581000,3459000,122000,7138000,-,4388000,3751000,3619000,131000,7647000,-,4572000,3912000,3778000,134000,7919000,-
"전체","서비스 종사자","계",1814987,1612133,1498863,113269,2434253,-,1798920,1617363,1503563,113800,2178680,-,1807296,1627694,1507816,119878,2155218,-,1900559,1710091,1587517,122574,2285613,-,1969878,1778565,1628864,149700,2295755,-,1857292,1724582,1582711,141871,1592514,-,1774718,1665723,1531057,134666,1307937,-,1764000,1668000,1537000,130000,1159000,-,1912000,1811000,1682000,129000,1207000,-,2014000,1913000,1784000,128000,1214000,-,2114000,2029000,1901000,128000,1029000,-
"전체","서비스 종사자","중졸이하",1590047,1417728,1326013,91714,2067828,-,1662196,1496688,1391117,105571,1986091,-,1431606,1347247,1281713,65534,1012310,-,1423664,1339081,1256020,83061,1014993,-,1491021,1418301,1294953,123348,872639,-,1449439,1391474,1280144,111330,695574,-,1370282,1329419,1228068,101352,490352,-,1480000,1434000,1321000,113000,547000,-,1372000,1342000,1261000,81000,355000,-,1542000,1508000,1419000,89000,410000,-,1757000,1724000,1626000,98000,402000,-
