"전체","K.금융 및 보험업(64~66)",소계,6083,4618,17589,-
"전체","K.금융 및 보험업(64~66)",금융업,6142,4609,18394,-
"전체","K.금융 및 보험업(64~66)",보험 및 연금업,5762,4621,13694,-
"전체","K.금융 및 보험업(64~66)",금융 및 보험관련 서비스업,6238,4637,19216,-
"전체","L.부동산업(68)",소계,2874,2658,2587,-
"전체","L.부동산업(68)",부동산업,2874,2658,2587,-
"전체","M.전문, 과학 및 기술 서비스업(70~73)",소계,4933,4242,8300,-
"전체","M.전문, 과학 및 기술 서비스업(70~73)",연구개발업,6192,4924,15217,-
"전체","M.전문, 과학 및 기술 서비스업(70~73)",전문 서비스업,4803,4190,7350,-
"전체","M.전문, 과학 및 기술 서비스업(70~73)",건축 기술 엔지니어링 및 기타 과학기술 서비스업,4086,3785,3617,-
"전체","M.전문, 과학 및 기술 서비스업(70~73)",기타 전문 과학 및 기술 서비스업,3469,3209,3120,-
"전체","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",소계,3086,2838,2969,-
"전체","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",사업시설 관리 및 조경 서비스업,3166,2918,2970,-
"전체","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",사업 지원 서비스업,3024,2771,3046,-
"전체","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",임대업; 부동산 제외,3466,3294,2058,-
"전체","P.교육 서비스업(85)",소계,3689,3425,3172,-
"전체","P.교육 서비스업(85)",교육 서비스업,3689,3425,3172,-
"전체","Q.보건업 및 사회복지 서비스업(86~87)",소계,2877,2705,2059,-
"전체","Q.보건업 및 사회복지 서비스업(86~87)",보건업,3833,3524,3703,-
"전체","Q.보건업 및 사회복지 서비스업(86~87)",사회복지 서비스업,1896,1865,374,-
"전체","R.예술, 스포츠 및 여가관련 서비스업(90~91)",소계,3007,2796,2543,-
"전체","R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 예술 및 여가관련 서비스업,3189,2998,2286,-
"전체","R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 및 오락관련 서비스업,2951,2733,2622,-
"전체","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",소계,3065,2794,3256,-
"전체","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",협회 및 단체,3082,2818,3173,-
"전체","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",개인 및 소비용품 수리업,3558,3153,4865,-
"전체","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",기타 개인 서비스업,2281,2202,944,-
"여자","전체",소계,2863,2617,2953,66.3
"여자","A.농업, 임업 및 어업(01~03)",소계,2431,2170,3137,65.0
"여자","A.농업, 임업 및 어업(01~03)",농업,2382,2137,2933,62.0
"여자","A.농업, 임업 및 어업(01~03)",임업,2674,2285,4660,72.6
"여자","A.농업, 임업 및 어업(01~03)",어업,2671,2445,2710,82.5
"여자","B.광업(05~08)",소계,2983,2813,2042,69.3
"여자","B.광업(05~08)",석탄 원유 및 천연가스 광업,3289,2949,4080,61.8
"여자","B.광업(05~08)",금속 광업,2542,2340,2416,64.4
"여자","B.광업(05~08)",비금속광물 광업; 연료용 제외,2939,2796,1716,73.6
"여자","B.광업(05~08)",광업 지원 서비스업,4061,3571,5885,66.7
"여자","C.제조업(10~34)",소계,2883,2581,3630,68.4
"여자","C.제조업(10~34)",식료품 제조업,2362,2244,1413,70.1
"여자","C.제조업(10~34)",음료 제조업,3149,2683,5590,68.1
"여자","C.제조업(10~34)",담배 제조업,5000,3776,14690,84.3
"여자","C.제조업(10~34)",섬유제품 제조업; 의복 제외,2398,2298,1199,70.3
"여자","C.제조업(10~34)",의복 의복 액세서리 및 모피제품 제조업,2812,2689,1470,72.5
